,Word,Entity
455,35 to 60 minute,TIME
456,later in,TIME
457,2,CARDINAL
458,the 7 hours,TIME
459,3,CARDINAL
460,4,CARDINAL
461,52,CARDINAL
462,3,CARDINAL
463,three,CARDINAL
464,10 about 45 minutes,TIME
465,2,CARDINAL
466,only about 10,CARDINAL
467,4,CARDINAL
468,2 or 3 hours,TIME
469,11 am 2 pm 4 pm,TIME
470,5,CARDINAL
471,three,CARDINAL
472,20 minutes,TIME
473,6some,CARDINAL
474,600,CARDINAL
475,4,CARDINAL
476,200,CARDINAL
477,800,CARDINAL
478,a day,DATE
479,days,DATE
480,over an hour,TIME
481,today,DATE
482,another hundred dollars,MONEY
483,90 minutes,TIME
484,2 hours,TIME
485,more than 78,CARDINAL
486,almost 11 hours,TIME
487,over 600,CARDINAL
488,3,CARDINAL
489,1130,DATE
490,one,CARDINAL
491,140 minutes,TIME
492,about all day,DATE
493,the week,DATE
494,315,CARDINAL
495,first,ORDINAL
496,99952,DATE
497,second,ORDINAL
498,280,CARDINAL
499,2,CARDINAL
500,2,CARDINAL
501,175 minutes,TIME
502,100,CARDINAL
503,15,CARDINAL
504,26,CARDINAL
505,4 days,DATE
506,hours,TIME
507,zero,CARDINAL
508,3,CARDINAL
509,2,CARDINAL
510,2 park4 day,DATE
511,spring,DATE
512,this spring,DATE
513,2 hours,TIME
514,more than 1,CARDINAL
515,over 2 hours,TIME
516,600,CARDINAL
517,four,CARDINAL
518,26,CARDINAL
519,84,CARDINAL
520,one,CARDINAL
521,hours,TIME
522,14,CARDINAL
523,10 years old,DATE
524,6,CARDINAL
525,one,CARDINAL
526,two hour,TIME
527,9 hours,TIME
528,400,CARDINAL
529,three,CARDINAL
530,two,CARDINAL
531,2009,DATE
532,1800s,DATE
533,1 12 hours,TIME
534,another 30 minutes,TIME
535,another half hour,TIME
536,one,CARDINAL
537,three months,DATE
538,3 months,DATE
539,september,DATE
540,january 13,DATE
541,3 months,DATE
542,october,DATE
543,thousand,CARDINAL
544,only 10,CARDINAL
545,one,CARDINAL
546,2,CARDINAL
547,season,DATE
548,1,CARDINAL
549,6 months,DATE
550,october,DATE
551,2020,DATE
552,june july,DATE
553,september,DATE
554,10 3,CARDINAL
555,4,CARDINAL
556,5,CARDINAL
557,thousands of dollars,MONEY
558,6,CARDINAL
559,season,DATE
560,3rd,ORDINAL
561,30 seconds,TIME
562,half,CARDINAL
563,26,CARDINAL
564,this week,DATE
565,first,ORDINAL
566,20 minute,TIME
567,one,CARDINAL
568,one,CARDINAL
569,two,CARDINAL
570,2021,DATE
571,many years,DATE
572,the holidays,DATE
573,first,ORDINAL
574,first,ORDINAL
575,one,CARDINAL
576,two,CARDINAL
577,two,CARDINAL
578,730,CARDINAL
579,810 am ten minutes,TIME
580,the day,DATE
581,the subsequent weeks,DATE
582,first,ORDINAL
583,2,CARDINAL
584,90,CARDINAL
585,2,CARDINAL
586,one day,DATE
587,a full day,DATE
588,10 miles,QUANTITY
589,first,ORDINAL
590,the second day,DATE
591,thousands,CARDINAL
592,700,CARDINAL
593,4,CARDINAL
594,second,ORDINAL
595,this past summer,DATE
596,999,CARDINAL
597,september,DATE
598,the first day,DATE
599,750am,ORDINAL
600,about two hours,TIME
601,first,ORDINAL
602,20,CARDINAL
603,945,CARDINAL
604,30 minutes,TIME
605,3 hour,TIME
606,400 minute,TIME
607,second,ORDINAL
608,the day,DATE
609,910am,ORDINAL
610,3rd,ORDINAL
611,14 hours,TIME
612,9,CARDINAL
613,2 day,DATE
